Membership No  Date Joined  Active  
    51685      2018-2-4     no    
    38871      2019-9-8     no    
    81656      2017-4-4     no    
    96199      2018-2-13    no    
    71760      2017-10-7    no    
    57953      2019-2-8     no    
    80197      2016-5-17    no    
    83978      2016-9-22    no    
    17645      2019-10-3    no    
    83847      2019-3-15    no    
    75652      2017-11-18   no    
    42832      2015-9-15    no    
    77605      2016-7-5     no    
    58881      2017-7-20    no    
